iteration,n_points,max_acquisition,mean_integrated_variance,rmse_A,rmse_B,curve_rmse
66,87,1.820450031690679e-05,1.0621421712867482e-05,0.0047572302307922,0.0008138134320111,0.022384567281529
67,88,1.7460463716076347e-05,1.04545631008989e-05,0.0047601505712914,0.0008137409524144,0.022393191555285
68,89,1.71133267809348e-05,1.020123425839928e-05,0.0047630499252881,0.0008130329782611,0.0223375732376846
69,90,1.6703095125546186e-05,9.991302474608296e-06,0.0047781014726457,0.0008113861671517,0.0222937084653738
70,91,1.6271838192555288e-05,9.696719177676032e-06,0.004778041517395,0.0008114416700094,0.0222742151915504
71,92,1.6146331090809152e-05,9.668611931657737e-06,0.0048707250181695,0.0008270633069506,0.022864316929898
72,93,1.552611964251993e-05,9.503357385606305e-06,0.0048679734013475,0.0008274154121014,0.0228865362515235
73,94,1.5351567238801322e-05,9.43092634676706e-06,0.0049171758046759,0.0008359732155613,0.0232387896690506
74,95,1.5038257156943511e-05,9.424899882771194e-06,0.0049376335275,0.0008295154200388,0.023415090332915
75,96,1.4867487935298074e-05,9.331256992944963e-06,0.0049601864408744,0.0008372067729079,0.0231384055545465
76,97,1.4611361758051776e-05,9.16321175456868e-06,0.0049546477904207,0.0008358076700746,0.0228522529334264
77,98,1.4472854084048026e-05,9.160470162808732e-06,0.0048150757504611,0.0008351843885294,0.0230620560365795
78,99,1.4287217491575075e-05,9.012561487908192e-06,0.0048066481327226,0.0008348844208777,0.0230333502835826
79,100,1.3715044915874053e-05,8.893354784180608e-06,0.0048013467674073,0.0008269104468291,0.0226508293008535
80,101,1.383046770580404e-05,8.941130998803095e-06,0.004747887680339,0.0007924157295688,0.0228553533272066
